,phrase,label,sentiment,subjectivity,language,count
Deutschland,,,,,,
Deutschlands,,,,,,
Levi,,,,,,
New South Wales,,,,,,
Alpen,,,,,,
Europa,,,,,,
Venedig,,,,,,
China,,,,,,
Australien,,,,,,
Berlin,,,,,,
Nordseestrand.,,,,,,
München,,,,,,
Russland,,,,,,
Deutschland.,,,,,,
"Podcasts
",,,,,,
Audioinhalten,,,,,,
Europas,,,,,,
Sachsen,,,,,,
Australiens,,,,,,
Zürs,,,,,,
USA,,,,,,
Regensburg,,,,,,
Staaten,,,,,,
Lake Louise,,,,,,
Skigebiete,,,,,,
Herzogenauracher,,,,,,
Krim-Brücke,,,,,,
Haus flattert?,,,,,,
Duisburg-Wanheimerort,,,,,,
Duisburg,,,,,,
Klimaaktivisten,,,,,,
Markusplatz,,,,,,
fünfmaliger,,,,,,
Ukraine,,,,,,
Landkreis München,,,,,,
Australien.,,,,,,
Skihänge,,,,,,
Wilhelmshaven,,,,,,
Pariser,,,,,,
Schweiz,,,,,,
Hochwasserschutzes an der Donau,,,,,,
Bayern,,,,,,
Westhafen,,,,,,
Levi: Der verflixte,,,,,,
Tirol,,,,,,
Italien,,,,,,
Stadt Venedig,,,,,,
Stadt,,,,,,
Dreßen,,,,,,
Lake Louise?,,,,,,
Venedig:,,,,,,
Vielerorts,,,,,,
Olympia-Zukunft des Sports,,,,,,
Palaver-Runden,,,,,,
Brüssel,,,,,,
Gletscherabfahrten,,,,,,
ZH,,,,,,
Kontinents,,,,,,
Broadway,,,,,,
La Niña,,,,,,
Verkehrsministerium,,,,,,
Zürich,,,,,,
Karlsfeld-West,,,,,,
Matterhorn,,,,,,
Scholz-Macron,,,,,,
Zermatt,,,,,,
Österreich,,,,,,
Canberra.,,,,,,
Schnee-Skibrille Markt,,,,,,
"Schnee-Skibrille Markt 2022
",,,,,,
Donau,,,,,,
Teuer-Winter.,,,,,,
Großer Kosten-Hammer,,,,,,
Grossbritannien,,,,,,
Ostaustraliens verwüste…,,,,,,
Männer,,,,,,
Sidney,,,,,,
Niedersachsens,,,,,,
Wyangala-Damm,,,,,,
Skigebieten,,,,,,
Australien: Massive Überschwemmungen,,,,,,
Briten,,,,,,
Weltskiverband,,,,,,
Cotswolds,,,,,,
Überschwemmungen,,,,,,
Eugowra,,,,,,
Forsteralm,,,,,,
Preisschock,,,,,,
bayerische Umweltministerium,,,,,,
Olympia-Aus,,,,,,
Demaclenko,,,,,,
Prinoth,,,,,,
Nordamerika,,,,,,
Telfs,,,,,,
Tiroler,,,,,,
snowit,,,,,,
Südtirol,,,,,,
Frankreich,,,,,,
Stadtzürcher,,,,,,
München.,,,,,,
Hochwassers Flutschutztore,,,,,,
Bergsträsser,,,,,,
Wintersport-Hochburgen,,,,,,
Hessischen Bergstraße,,,,,,
Jungfrau-Region,,,,,,
…,,,,,,
Ski alpin: Dürr,,,,,,
Oberösterreich.,,,,,,
Waidhofen an der Ybbs,,,,,,
Weltcup-Verantwortlichen,,,,,,
Dächern gerette…,,,,,,
Harrods,,,,,,
New York,,,,,,
Köln,,,,,,
Keramikspur,,,,,,
Wisla,,,,,,
nan Venedig,,,,,,
Venedig.,,,,,,
Dingolfing,,,,,,
Eisenach,,,,,,
Jahres,,,,,,
Nutzfahrzeugherstellers,,,,,,
Algarve,,,,,,
Österreichs,,,,,,
Aldi Süd,,,,,,
Markusplatz.,,,,,,
Amerika,,,,,,
österreichische Regierung,,,,,,
Mahnwache am Marienplatz: Demonstranten,,,,,,
Weltcup-Winter,,,,,,
Migros-Daily-Filiale,,,,,,
Hauptbahnhof Zürich,,,,,,
Migros-Filiale,,,,,,
Energiespardebatten,,,,,,
London:,,,,,,
Berkeley Square,,,,,,
Verbrenner-Aus kommt!,,,,,,
Kantons Zürich,,,,,,
Detroit,,,,,,
Zusammenraufens,,,,,,
London,,,,,,
Sirenenanlagen,,,,,,
Ahrtal,,,,,,
Levi.,,,,,,
Ski alpin: Genug Schnee,,,,,,
Levi:,,,,,,
Dinharderstrasse,,,,,,
Rickenbach Sulz auf der Burgstrasse,,,,,,
Flughafen,,,,,,
Zürich: Unbekannter Mann greift Mädchen,,,,,,
Ukraine-Krieg,,,,,,
Regierung: Hochwasser-App «Meine Pegel» auch in,,,,,,
Tempolimt,,,,,,
Kiew,,,,,,
Privacy Center,,,,,,
Krim,,,,,,
Schwarzmeer-Halbinsel,,,,,,
Vorstandsrang,,,,,,
Wien,,,,,,
ZH 100,,,,,,
Kontrollschilder-Auktion,,,,,,
Luxemburg,,,,,,
Wasser,,,,,,
