week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2022-28,-0.10106624162882344,1.0,-0.796358350634894,1.0,1.0
2022-32,0.013944155351883258,0.9730588282681377,-0.6126529047856693,0.2597987330017699,2.0
2022-39,0.24634104033625734,1.0,-0.5061098540739317,1.0,1.0
2022-40,0.15060170691522679,1.63613416034787,0.4767730106313399,1.265040962764526,3.0
2022-41,0.07395946815898687,0.6390402414959985,0.6960183278615218,1.2824478953131286,8.0
2022-42,0.16757203596365583,0.6741723847063499,0.36387148872034925,0.7700931591362886,11.0
2022-43,0.22361910313725517,0.8723114636946868,0.12860362832700845,0.9380848168164176,25.0
2022-44,0.05070698635099449,1.0121199535813128,0.0203917682900432,0.8504010959075284,28.0
2022-45,-0.11415836349346371,0.936906661695844,-0.14096129421218165,0.8031022642431116,27.0
2022-46,-0.14420239996889603,0.9761182707234582,-0.20102839730722993,0.8792726255957494,30.0
2022-47,0.10412549020594855,0.6715203912229574,-0.07808659822203616,0.8872641459434979,17.0
2022-48,-0.3187813706083947,1.1821682241091762,-0.5254611127581116,1.0,2.0
2022-49,-0.9076673975676888,0.191037807786221,0.11670140191366071,0.7716640193076484,2.0
2022-50,0.29859988038346424,0.5112609002014562,0.3003449573911516,0.8823305654704323,4.0
2022-51,-0.670820393249937,1.5811388300841898,-0.7302967433402215,0.0,2.0
