topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Auto,-0.03352672547686262,1.0023223663298313,0.07075952305221282,0.8723657036483136,49.0
Hochwasser,-0.09375536528423059,0.7276798523456596,-0.47854958851630225,0.7875656972652646,16.0
Ski,-0.01982003548538652,0.7258176857051862,-0.005492040728650596,0.8322864784632713,48.0
Weinlese,0.6624912102683096,0.6814218854052202,0.9030200428878133,0.9684388081557745,5.0
Wohnen,-0.04465716154527335,0.834548577345825,-0.2781595382298994,0.2383531589240566,4.0
