day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2022-07-16,-0.10106624162882344,1.0,-0.796358350634894,1.0,1.0
2022-08-10,0.17107407532082897,0.7508435643934558,-0.556293058325866,0.3395035922384889,2.0
2022-10-01,0.49467318933207766,1.0,-0.49518756847213835,1.0,1.0
2022-10-03,-0.7844643129260879,1.0,-0.5720743289471175,1.0,1.0
2022-10-06,0.8473750762966027,1.785185263006375,1.1944073939070345,1.287132009358347,2.0
2022-10-10,0.9924152662769772,1.0,-0.5720743289471175,1.0,1.0
2022-10-16,0.9924152662769772,1.0,0.7657386897488142,1.0,1.0
2022-10-21,0.4676669923235265,0.33139783866444317,0.6470411598908515,0.9150543837312606,2.0
2022-10-23,0.08378496046142792,0.6902646599902517,0.39140407215842066,0.6981985865411093,7.0
2022-10-24,-0.2880812371624713,0.3047166051824588,-0.47111997646332915,0.49861990034234344,3.0
2022-10-25,0.5890421155101335,0.5648453839599477,0.42173503175721816,1.0632578187003288,8.0
2022-10-26,0.7071067811865475,1.0,,1.0,1.0
2022-10-27,0.19267686875205145,0.6039923063138395,0.4054187990655287,0.774356327131326,2.0
2022-10-28,0.5199906504391258,1.0077317152325238,0.03930898807939673,0.8898491224046897,4.0
2022-10-29,-0.7981382321023278,0.3478054089832563,0.015128798301375923,1.4356089141133082,2.0
2022-10-31,-0.153409402499547,0.33497299809684905,0.40388352105611736,0.6128951668440591,5.0
2022-11-02,-0.55099661631822,0.4477208222498037,-0.35520972094087977,0.3013348417895118,2.0
2022-11-03,0.8558826580515216,3.037768704672096,0.19428460214939275,1.0784371659507985,3.0
2022-11-04,-0.13157865138228306,0.29306511912356636,-0.2985453000558816,0.4750757850875213,3.0
2022-11-05,-0.39428649683727834,0.5576053112878555,-0.2841428154890095,0.40183862331543313,2.0
2022-11-06,0.35579107960478495,1.4747322108286334,-0.03470465195890601,1.5600715099089513,5.0
2022-11-07,-0.07829807585910963,0.9932940625919957,1.008236449730659,0.9692320101505876,3.0
2022-11-08,-0.38464100655669237,0.7099219092682608,-0.4276780467769115,0.6819769859915854,9.0
2022-11-09,-0.31833965473867737,0.5209109352912608,0.5800695533255291,0.8203422294326665,2.0
2022-11-10,-0.06500682840312066,1.6408692164853609,-0.3917201742363264,0.28733132429368735,6.0
2022-11-11,-0.38787584625116034,1.0,0.9456755413789367,1.0,1.0
2022-11-12,0.10046150864012869,1.0,0.28426762180748066,1.0,1.0
2022-11-14,-0.13067324010558076,0.4690974934803659,0.5006895263439456,1.0943037152487705,4.0
2022-11-15,-0.2268398352056784,0.7960870646605951,-0.40116858938771793,1.1020006452017714,7.0
2022-11-16,0.2862217648069594,1.0487187099703865,-0.2031184754704338,0.9542106551790093,7.0
2022-11-18,-0.5841057057079487,0.661238356509687,0.04579014468639883,0.7650580188903853,2.0
2022-11-19,0.13999999999999999,1.0,0.0,1.0,1.0
2022-11-20,-0.4452570388429136,0.7829962315359587,-0.2772990732742306,0.463950120210796,6.0
2022-11-21,0.5116125609453172,0.40632160273738055,0.1310251105262942,0.9791424656737928,3.0
2022-11-22,0.43883364530395225,0.8960683574143993,1.1369877826022123,2.4169788170910618,4.0
2022-11-23,-0.54531013303905,0.7017483625194648,-0.3989783339193643,0.2534991578470806,5.0
2022-11-24,0.031027335813291812,0.5223404554671981,-0.37885708731867934,0.32809986202175556,4.0
