keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Auto Verbrenner',-0.28874039122163625,0.6077034085632995,-0.000780915775731944,0.7335938021019547,9.0
'Auto',0.025368735848854358,1.0704480614506213,0.08543448486307327,0.9059822554806899,40.0
'Hochwasser Extremereignisse',-0.9728849178589791,1.0,-0.38169887111055184,1.0,1.0
'Hochwasser Regen',0.0030340351926134343,0.6847339723556503,-0.6453260255662691,1.1919474745605703,4.0
'Hochwasser Wasser',0.30575220376801543,0.860493511591657,-0.670944447108894,0.3708046642480063,3.0
'Hochwasser',-0.19538225795298417,0.7202549323570938,-0.19168968687332932,0.7582455889320292,8.0
'Ski Schnee',0.12465559477016196,0.8937539751992374,0.006327282887059106,0.7956533152333858,14.0
'Ski Tourismus',0.3853899860241239,0.8496052577554424,1.4564698420565139,1.424203525834991,3.0
'Ski Winter',-0.08003050716246339,0.5950081837760324,-0.05756748279981491,0.7085694552563356,19.0
'Ski',-0.20437927461837843,0.6714136391988454,-0.407047398694703,0.36235327828646957,12.0
'Weinlese Herbst',1.2076290824983449,1.0,0.680170063776574,1.0,1.0
'Weinlese',0.5262067422108008,0.7037693795940205,0.9587325376656233,1.108966073884643,4.0
'Wohnen Fläche',-0.45805786147925215,1.0,-0.31622776601683794,1.0,2.0
'Wohnen Kosten',-0.5918110573848011,1.0,-0.49518756847213835,1.0,1.0
'Wohnen',0.9158974342282332,1.0,-0.02306328020072189,1.0,1.0
