,summary,Weinlese,Wohnen,Auto,Hochwasser,Ski,word
doch gaspreis,3.541383712732537,-0.2838784373907808,-0.20839749074471703,0.6233450235572693,-0.42285042446080706,-0.6866321242141304,doch gaspreis
bisherige,3.2039746199205337,-0.18375301511715625,-0.10827206847109268,0.5463056103048519,-0.3227250021871826,-0.5865067019405058,bisherige
gaspreis bisherig,3.2039746199205337,-0.18375301511715625,-0.10827206847109268,0.5463056103048519,-0.3227250021871826,-0.5865067019405058,gaspreis bisherig
Produktion,3.1093017381099757,-0.1537590867899038,-0.07827814014384013,0.5203789894127856,-0.2927310738599301,-0.5565127736132535,Produktion
bisherig produktion,3.1093017381099757,-0.1537590867899038,-0.07827814014384013,0.5203789894127856,-0.2927310738599301,-0.5565127736132535,bisherig produktion
unrentabel,3.0288055960038602,-0.1275292563844315,-0.05204830973836787,0.49647137502021044,-0.2665012434544578,-0.5302829432077811,unrentabel
produktion unrentabel,3.0288055960038602,-0.1275292563844315,-0.05204830973836787,0.49647137502021044,-0.2665012434544578,-0.5302829432077811,produktion unrentabel
Der,56.60721717158877,-2.2427110822401586,-2.1236180791911634,0.32095121107049257,-0.03747429725150409,0.08342595615439405,Der
Chef,3.7126802644821932,-0.3311149663550236,-0.25563401970895977,0.5654224347147777,-0.042182730459038996,-0.7338686531783731,Chef
der chef,2.9396771631875325,-0.09766067419712185,-0.022179727551058247,0.467725896580544,-0.23663266126714824,-0.5004143610204717,der chef
gleich,3.9134577530834296,-0.38378222634522435,-0.30830127969916066,0.15396976249002806,-0.5227542134152507,0.1514274744553042,gleich
chef gleich,2.899434162457906,-0.08387650887645746,-0.008395562230393653,0.45387547995879507,-0.2228484959464839,-0.486630195699807,chef gleich
mehrere,10.192286852717656,-1.3409921506391622,-1.2655112039930985,-0.8226935230625388,1.5747811111354866,-1.7437458374625117,mehrere
gleich mehrere,2.8717647382593183,-0.07428763949837283,0.0011933071476908903,0.44401098807825046,-0.21325962656839914,-0.47704132632172236,gleich mehrere
Ideen,4.279860584443657,-0.4732813426505871,-0.3978003960045235,0.024621146652549716,-0.6122533297206134,0.2879266919120021,Ideen
mehrere idee,2.8433266178882133,-0.06433561832696207,0.01114532831910156,0.43356687097617475,-0.2033076053969884,-0.4670893051503117,mehrere idee
gegensteuern,2.8001348879910037,-0.04902849761885071,0.02645244902721312,0.4170781566749904,-0.1880004846888771,-0.45178218444220036,gegensteuern
idee gegensteuer,2.8001348879910037,-0.04902849761885071,0.02645244902721312,0.4170781566749904,-0.1880004846888771,-0.45178218444220036,idee gegensteuer
Landkreis,3.3095666640489703,-0.21617817092835162,-0.1406972242822879,0.5727702584429533,-0.35515015799837785,-0.6189318577517012,Landkreis
München,11.879210425468049,-1.4941507565386138,-0.3718471126772935,0.41687076950669466,-1.6331227436086404,0.1516063582428284,München
landkreis münchen,3.34692147861094,-0.22740186903975254,-0.15192092239368904,0.5815762326157884,-0.36637385610977896,-0.6301555558631022,landkreis münchen
münchen wie,2.753986401243059,-0.032410369789566566,0.043070576856496935,0.39856812252643214,-0.1713823568595931,-0.43516405661291624,münchen wie
Politiker,2.763482269562146,-0.035852483650596956,0.039628462995466754,0.4024557786620702,-0.1748244707206233,-0.4386061704739467,Politiker
wie politiker,2.763482269562146,-0.035852483650596956,0.039628462995466754,0.4024557786620702,-0.1748244707206233,-0.4386061704739467,wie politiker
Energie,6.425334699063244,-0.8796096299794278,-0.8041286833333641,0.33817550920949757,-1.0185816170494542,0.16723852958424498,Energie
politiker energie,2.7890723047290336,-0.04506994059043149,0.030411006055632225,0.41272765359664165,-0.18404192766045785,-0.4478236274137811,politiker energie
energie spar,5.132514156978852,-0.6549565355234813,-0.5794755888774177,0.7434344781829263,-0.7939285225935077,-0.7079401607333861,energie spar
spar landkreis,2.7117404155318274,-0.016951555825731407,0.05852939082033233,0.38075028501676095,-0.15592354289575763,-0.419705242649081,spar landkreis
SZ.de,2.91660806516214,-0.08978222687069308,-0.014301280224629339,0.4598564921619097,-0.22875421394071943,-0.4925359136940427,SZ.de
münchen sz.de,2.91660806516214,-0.08978222687069308,-0.014301280224629339,0.4598564921619097,-0.22875421394071943,-0.4925359136940427,münchen sz.de
Anton,2.9445248251600664,-0.09930836170984386,-0.023827415063780194,0.46935611084148404,-0.23828034877987014,-0.5020620485331934,Anton
sz.de anton,2.9445248251600664,-0.09930836170984386,-0.023827415063780194,0.46935611084148404,-0.23828034877987014,-0.5020620485331934,sz.de anton
Hofreiter,2.9754473236989614,-0.1097552959172733,-0.03427434927120965,0.4795692843694787,-0.24872728298729962,-0.512508982740623,Hofreiter
anton hofreiter,2.9754473236989614,-0.1097552959172733,-0.03427434927120965,0.4795692843694787,-0.24872728298729962,-0.512508982740623,anton hofreiter
duscht,3.035346836913678,-0.12968660434663085,-0.054205657700567365,0.498483433945835,-0.2686585914166573,-0.5324402911699805,duscht
hofreiter dusch,3.035346836913678,-0.12968660434663085,-0.054205657700567365,0.498483433945835,-0.2686585914166573,-0.5324402911699805,hofreiter dusch
kalt,6.4618404471090285,-0.8852750834673366,-0.809794136821273,0.6097905189137692,-1.024247070537363,-0.2135697933034109,kalt
dusch kalt,3.0853144948874838,-0.14601450271446098,-0.07053355606839726,0.51344413483012,-0.2849864897844874,-0.5487681895378107,dusch kalt
Florian,4.05278026349776,-0.4187640377253264,-0.3432830910792628,0.6107032465725046,-0.04730915166857798,-0.8215177245486761,Florian
kalt florian,3.1351192653472144,-0.1620281238497506,-0.08654717720368701,0.5276723439895508,-0.301000110919777,-0.5647818106731004,kalt florian
Hahn,3.2149760135013516,-0.18718080416899663,-0.11169985752293277,0.5491777898777059,-0.32615279123902297,-0.5899344909923462,Hahn
florian hahn,3.2149760135013516,-0.18718080416899663,-0.11169985752293277,0.5491777898777059,-0.32615279123902297,-0.5899344909923462,florian hahn
fährt,8.096730843094196,-0.5026754743836994,-1.0353403412616167,-0.34055061077142795,0.9043160088680042,-0.17314601799579757,fährt
hahn fahr,3.275400895547444,-0.20580117976533394,-0.1303202331192702,0.5644694973709184,-0.3447731668353603,-0.6085548665886836,hahn fahr
Bahn,3.362872765888818,-0.2321565058428912,-0.1566755591968275,0.5852539437716863,-0.3711284929129175,-0.6349101926662408,Bahn
fahr bahn,3.362872765888818,-0.2321565058428912,-0.1566755591968275,0.5852539437716863,-0.3711284929129175,-0.6349101926662408,fahr bahn
Natascha,3.541383712732537,-0.2838784373907808,-0.20839749074471703,0.6233450235572693,-0.42285042446080706,-0.6866321242141304,Natascha
bahn natascha,3.541383712732537,-0.2838784373907808,-0.20839749074471703,0.6233450235572693,-0.42285042446080706,-0.6866321242141304,bahn natascha
Kohnen,3.829489673040731,-0.36209245699334913,-0.2866115103472855,0.6749603588985735,-0.5010644440633755,-0.7648461438166987,Kohnen
natascha kohnen,3.829489673040731,-0.36209245699334913,-0.2866115103472855,0.6749603588985735,-0.5010644440633755,-0.7648461438166987,natascha kohnen
Auto,39.69377309838586,-2.700555233799446,-2.625074287153382,1.118813060796767,-2.8395272208694724,-3.1033089206227955,Auto
kohnen auto,5.648253161696712,-0.7507072297485289,-0.6752262831024652,0.8565432532718503,-0.8896792168185552,-1.1534609165718785,kohnen auto
verkauft,4.546223465546236,-0.5336577880591331,-0.4581768414130695,0.7679833740133741,-0.6726297751291594,-0.9364114748824828,verkauft
auto verkauf,4.546223465546236,-0.5336577880591331,-0.4581768414130695,0.7679833740133741,-0.6726297751291594,-0.9364114748824828,auto verkauf
Analyse,5.621467987409847,-0.7459537448365082,-0.6704727981904446,-0.14261548181501368,-0.8849257319065347,0.46558767364390263,Analyse
Hans-Jürgen,5.227423221436113,-0.6732793720938174,-0.5977984254477537,0.8279930175282397,-0.8122513591638438,-1.0760330589171672,Hans-Jürgen
analyse hans-jürgen,2.5600143803613142,0.0406262168801332,0.11610716352619666,0.3087619418820659,-0.09834577018989314,-0.3621274699432167,analyse hans-jürgen
Moritz,4.558461562014883,-0.5363460971663674,-0.46086515052030375,0.7692567286031999,-0.6753180842363937,-0.939099783989717,Moritz
hans-jürgen moritz,4.558461562014883,-0.5363460971663674,-0.46086515052030375,0.7692567286031999,-0.6753180842363937,-0.939099783989717,hans-jürgen moritz
EU-Streit,2.579188265019312,0.03316436921757806,0.10864531586364186,0.31863060620150957,-0.10580761785244827,-0.3695893176057714,EU-Streit
moritz eu-streit,2.579188265019312,0.03316436921757806,0.10864531586364186,0.31863060620150957,-0.10580761785244827,-0.3695893176057714,moritz eu-streit
Energiepolitik,4.8838566036638555,-0.605296102703781,-0.5298151560577173,0.8002670740055994,-0.7442680897738073,-1.0080497895271308,Energiepolitik
eu-streit energiepolitik,2.5922263042664295,0.028122009260859185,0.10360295590692295,0.32520356287881713,-0.11084997780916708,-0.37463167756249033,eu-streit energiepolitik
Deutschland,35.180366191137765,1.6707020520094509,-2.504368108996277,-0.055882889192606824,-1.4622892425814253,-1.0221556963838303,Deutschland
energiepolitik deutschland,2.609712578923578,0.02139900043163419,0.09687994707769793,0.3338498719162842,-0.11757298663839201,-0.3813546863917154,energiepolitik deutschland
Frankreich,2.6290533663467017,0.014015248037875907,0.08949619468393955,0.3431947610865615,-0.12495673903215049,-0.3887384387854738,Frankreich
deutschland frankreich,2.6290533663467017,0.014015248037875907,0.08949619468393955,0.3431947610865615,-0.12495673903215049,-0.3887384387854738,deutschland frankreich
Egoisten,2.649186021847733,0.006386661437004054,0.08186760808306774,0.3526874818139421,-0.13258532563302236,-0.3963670253863456,Egoisten
frankreich egoist,2.649186021847733,0.006386661437004054,0.08186760808306774,0.3526874818139421,-0.13258532563302236,-0.3963670253863456,frankreich egoist
Verdacht,2.6716391245820352,-0.0020530957033527085,0.073427850942711,0.3630028810017566,-0.1410250827733789,-0.4048067825267022,Verdacht
egoist verdacht,2.6716391245820352,-0.0020530957033527085,0.073427850942711,0.3630028810017566,-0.1410250827733789,-0.4048067825267022,egoist verdacht
Böses,3.262527222810595,-0.20186302408603826,-0.12638207743997462,0.5612783808269267,-0.3408350111560646,-0.604616710909388,Böses
verdacht böse,2.6864225046532466,-0.007571291874878024,0.06790965477118564,0.3696439902466322,-0.1465432789449043,-0.41032497869822776,verdacht böse
Blut,3.2820010731216587,-0.20781422695524465,-0.13233328030918087,0.5660919279925816,-0.34678621402527093,-0.6105679137785943,Blut
böse blut,3.2820010731216587,-0.20781422695524465,-0.13233328030918087,0.5660919279925816,-0.34678621402527093,-0.6105679137785943,böse blut
Brüssel,5.11367953410459,-0.6512801177909558,-0.5757991711448921,0.8193092203736642,-0.7902521048609822,-1.0540338046143054,Brüssel
blut brüssel,3.3095666640489703,-0.21617817092835162,-0.1406972242822879,0.5727702584429533,-0.35515015799837785,-0.6189318577517012,blut brüssel
Streit,3.068398119712594,-0.14051654762751337,-0.06503560098144964,0.5084586847507055,-0.2794885346975398,-0.5432702344508632,Streit
brüssel streit,3.068398119712594,-0.14051654762751337,-0.06503560098144964,0.5084586847507055,-0.2794885346975398,-0.5432702344508632,brüssel streit
richtige,3.41471657773406,-0.24745540355126852,-0.17197445690520483,0.5968803160803741,-0.3864273906212948,-0.650209090374618,richtige
streit richtig,3.41471657773406,-0.24745540355126852,-0.17197445690520483,0.5968803160803741,-0.3864273906212948,-0.650209090374618,streit richtig
Linie,3.458144677043363,-0.2600931320598383,-0.1846121854137745,0.606252192321703,-0.3990651191298646,-0.6628468188831877,Linie
richtig linie,3.458144677043363,-0.2600931320598383,-0.1846121854137745,0.606252192321703,-0.3990651191298646,-0.6628468188831877,richtig linie
linie energiepolitik,3.0872488596213583,-0.14664126494794522,-0.0711603183018816,0.5140091637424848,-0.2856132520179717,-0.5493949517712949,linie energiepolitik
Verdächtigungen,3.681343498733439,-0.32263867404802143,-0.2471577274019578,0.6497613135903791,-0.46161066111804766,-0.7253923608713713,Verdächtigungen
energiepolitik verdächtigung,3.681343498733439,-0.32263867404802143,-0.2471577274019578,0.6497613135903791,-0.46161066111804766,-0.7253923608713713,energiepolitik verdächtigung
Berlin,7.765633172933391,-1.0690689025021127,-0.9935879558560492,0.7888714633113545,-0.6644086337828047,-0.7700718788799085,Berlin
verdächtigung berlin,3.897228722671741,-0.3796266239363894,-0.30414567729032577,0.685650890299465,-0.5185986110064157,-0.782380310759739,verdächtigung berlin
Paris,4.001822116566152,-0.40611069385506166,-0.3306297472089979,0.7012406189639466,-0.5450826809250879,-0.8088643806784112,Paris
berlin paris,4.001822116566152,-0.40611069385506166,-0.3306297472089979,0.7012406189639466,-0.5450826809250879,-0.8088643806784112,berlin paris
Ursula,4.163780307069736,-0.4457842966066876,-0.370303349960624,0.723412421135641,-0.584756283676714,-0.8485379834300374,Ursula
paris ursula,4.163780307069736,-0.4457842966066876,-0.370303349960624,0.723412421135641,-0.584756283676714,-0.8485379834300374,paris ursula
Leyen,4.51551854966154,-0.5268809380130539,-0.4513999913669902,0.7647509201994356,-0.6658529250830801,-0.9296346248364036,Leyen
ursula leye,4.51551854966154,-0.5268809380130539,-0.4513999913669902,0.7647509201994356,-0.6658529250830801,-0.9296346248364036,ursula leye
Runde.Von,3.5663474704017104,-0.2909028618305391,-0.21542191518447532,0.6282613650896817,-0.42987484890056554,-0.6936565486538887,Runde.Von
leye runde.von,3.5663474704017104,-0.2909028618305391,-0.21542191518447532,0.6282613650896817,-0.42987484890056554,-0.6936565486538887,leye runde.von
FOCUS-online-Autor,5.551313014309993,-0.7333953862483961,-0.6579144396023323,0.8504191431621757,-0.8723673733184224,-1.1361490730717456,FOCUS-online-Autor
runde.von focus-online-autor,3.921701285804729,-0.38588646844730157,-0.3104055218012378,0.6893952138490566,-0.5248584555173278,-0.7886401552706512,runde.von focus-online-autor
focus-online-autor hans-jürgen,4.832182517269371,-0.5946591398483755,-0.5191781932023117,0.7956822545550338,-0.7336311269184018,-0.997412826671725,focus-online-autor hans-jürgen
moritz brüssel,4.051524821071814,-0.4184542166060849,-0.3429732699600211,0.7082865751099084,-0.5574262036761112,-0.8212079034294344,moritz brüssel
brüssel böse,2.6864225046532466,-0.007571291874878024,0.06790965477118564,0.3696439902466322,-0.1465432789449043,-0.41032497869822776,brüssel böse
Runde.Sind,2.666941306192553,-0.00029314484638068457,0.07518780179968293,0.36086772101151277,-0.13926513191640683,-0.4030468316697302,Runde.Sind
leye runde.sind,2.666941306192553,-0.00029314484638068457,0.07518780179968293,0.36086772101151277,-0.13926513191640683,-0.4030468316697302,leye runde.sind
beiden,10.686826248631457,-1.3883726985275184,-1.312891751881455,-1.0456184527979635,-1.5273446855975448,0.7989146778320535,beiden
runde.sind beiden,2.644987311810757,0.007972824432681255,0.08345377107874495,0.3507270701622361,-0.1309991626373451,-0.39478086239066834,runde.sind beiden
größten,2.6355316335284105,0.011554172586834877,0.0870351192328985,0.346275015776167,-0.1274178144831916,-0.39119951423651483,größten
beiden groß,2.6355316335284105,0.011554172586834877,0.0870351192328985,0.346275015776167,-0.1274178144831916,-0.39119951423651483,beiden groß
EU-Länder,2.6252704953535657,0.015455156100759673,0.09093610274682341,0.34138464878252983,-0.12351683096926667,-0.3872985307225899,EU-Länder
groß eu-land,2.6252704953535657,0.015455156100759673,0.09093610274682341,0.34138464878252983,-0.12351683096926667,-0.3872985307225899,groß eu-land
Deutschla…,2.6120222606838372,0.020514358839583934,0.09599530548564777,0.33497774578701855,-0.11845762823044219,-0.3822393279837656,Deutschla…
eu-land deutschla…,2.6120222606838372,0.020514358839583934,0.09599530548564777,0.33497774578701855,-0.11845762823044219,-0.3822393279837656,eu-land deutschla…
+7061,2.598585577521513,0.02567180432899167,0.10115275097505533,0.32837012260778065,-0.11330018274103464,-0.37708188249435803,+7061
deutschla… +7061,2.598585577521513,0.02567180432899167,0.10115275097505533,0.32837012260778065,-0.11330018274103464,-0.37708188249435803,deutschla… +7061
chars,72.96557144898966,-0.3030934710379769,-0.14306949660442728,-0.008208026517671,-0.07040740987150296,0.12258582052064414,chars
+7061 chars,2.5922263042664295,0.028122009260859185,0.10360295590692295,0.32520356287881713,-0.11084997780916708,-0.37463167756249033,+7061 chars
Energiepreise,4.679083205261175,-0.5624631017431864,-0.4869821550971226,-0.9270511747449208,-0.7014350888132127,0.6517098809732738,Energiepreise
Eingeschränktes,4.064497317160824,-0.4216509814535805,-0.3461700348075169,-0.786239054455315,-0.5606229685236069,0.5854249478319588,Eingeschränktes
energiepreis eingeschränkt,4.064497317160824,-0.4216509814535805,-0.3461700348075169,-0.786239054455315,-0.5606229685236069,0.5854249478319588,energiepreis eingeschränkt
Skivergnügen,10.509229502554911,-1.371614778627858,0.1312470284103006,-1.7362028516295924,-1.5105867656978844,0.7971904304713638,Skivergnügen
eingeschränkt skivergnügen,6.244342956106205,-0.8510368341660292,-0.7755558875199655,-1.2156249071677636,-0.9900088212360556,0.7527512186149807,eingeschränkt skivergnügen
Seilbahnen,6.825678629658773,-0.9400526763604696,-0.8645717297144058,-1.3046407493622039,-1.0790246634304959,0.776924671181228,Seilbahnen
skivergnügen seilbahn,4.220124530154708,-0.4592255444433915,-0.38374459779732795,-0.8238136174451259,-0.5981975315134177,0.604483125481735,skivergnügen seilbahn
langsamer,6.6809644775872,-0.9186232673142206,-0.843142320668157,-1.283211340315955,-1.057595254384247,0.7713522858559463,langsamer
seilbahn langsam,4.607701543190847,-0.547090059338685,-0.47160911269262146,-0.9116781323404193,-0.6860620464087115,0.6451172602475683,seilbahn langsam
fahren,9.779566624238608,-1.299656077930395,-1.2241751312843312,0.20528272226149138,-1.4386280650004213,0.3718270081677305,fahren
langsam fahr,4.504366738223741,-0.5244082198433591,-0.4489272731972953,-0.8889962928450935,-0.6633802069133854,0.6351207978509611,langsam fahr
weniger,6.453485656055106,-0.8839813039448396,-0.808500357298776,-0.40924139570698415,-1.022953291014866,0.5978776061001989,weniger
fahr weniger,4.473337267590361,-0.5174956296817128,-0.44201468303564906,-0.8820837026834472,-0.6564676167517391,0.6320085445875905,fahr weniger
Beschneiung,4.594434048946386,-0.5442064888229365,-0.46872554217687273,-0.9087945618246708,-0.6831784758929629,0.643864426433485,Beschneiung
weniger beschneiung,4.594434048946386,-0.5442064888229365,-0.46872554217687273,-0.9087945618246708,-0.6831784758929629,0.643864426433485,weniger beschneiung
erhöhte,5.201943266423282,-0.6683931681739643,-0.5929122215279006,-1.032981241175699,-0.8073651552439908,0.6934590272596118,erhöhte
beschneiung erhöht,5.201943266423282,-0.6683931681739643,-0.5929122215279006,-1.032981241175699,-0.8073651552439908,0.6934590272596118,beschneiung erhöht
Ticketpreise,5.679337694124382,-0.7561955301028034,-0.6807145834567397,-1.1207836031045377,-0.8951675171728296,0.72375418793959,Ticketpreise
erhöht ticketpreis,5.679337694124382,-0.7561955301028034,-0.6807145834567397,-1.1207836031045377,-0.8951675171728296,0.72375418793959,erhöht ticketpreis
ticketpreis die,7.796766267253883,-1.0730699739272707,-0.997589027281207,-1.437658046929005,-1.212041960997297,0.8083772315395528,ticketpreis die
Skigebiete,54.87798751189347,-2.350322676629745,-0.826791697410341,-3.3890612923608625,-2.833657038924324,0.946404472871487,Skigebiete
die skigebiet,9.928399136715015,-1.3147601575437833,-1.2392792108977195,-1.6793482305455176,-1.4537321446138094,0.8540450515554386,die skigebiet
